what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519548002038
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519548004837
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1519548009432
started,bundle,org.eclipse.pde.core,3.6.0.v20100601,"org.eclipse.pde.core",1519548014086
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1519548017756
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1519548021945
started,bundle,org.eclipse.wst.common.environment,1.0.400.v200912181832,"org.eclipse.wst.common.environment",1519548031431
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519548031533
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519548040449
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519548045237
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519548045452
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519548046421
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519548369052
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519548369383
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519548692930
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519548693464
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519548777046
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519548777926
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519550007587
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519550013252
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519550031733
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1519550031762
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519550031892
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1519550032377
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1519550032377
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1519550032378
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1519550032378
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1519550032379
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1519550032380
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1519550032380
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1519550032381
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1519550032381
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1519550032382
